respondent_id,row_id,is_sp,choice_situation_id,av_walk,av_bike,av_pvt,av_ipt,av_bus,av_drop,tt_walk,tt_bike,tt_pvt,tt_ipt,tt_bus,tt_drop,tc_bike,tc_pvt,tc_ipt,tc_bus,tc_drop,comfort_bus,infra_bike,infra_bus,safety_street,weather,land_use,age_cohort,inc_level,choice
1,1,0,0,1,1,1,1,1,1,23.587719188071787,11.894064073916525,18.916047647362575,10.547681912779808,23.89312325627543,13.215524789411575,1.1656957091763616,41.23454608255997,30.10785070247948,11.616767807863653,19.39457503380254,2,0,0,0,1,2,1,1,3
1,2,1,1,1,1,1,1,1,1,22.303962344303727,8.556807461427525,10.8569399677217,10.621998705901206,19.843386908294633,6.683975548483431,4.194633946754038,72.95054560992867,108.11509888153523,15.04626041278243,21.165839608293027,1,0,0,0,3,2,1,1,3
1,3,1,2,1,1,1,1,1,1,12.094393959268928,8.232162337051705,16.704075360205024,17.678791487123817,11.94884132547304,13.222216981928796,3.8856534042861313,34.41991122439504,109.12044919328764,21.8626804696396,19.42077768384479,2,1,1,0,3,2,1,1,5
1,4,1,3,1,1,1,1,1,1,6.726172165945172,7.154557142173871,15.321758758276701,15.237009017728269,14.259033951442689,10.850797786843032,1.274328411091119,71.88190925400704,90.58544894680381,17.88372824434191,41.57392185181379,2,0,0,0,2,2,1,1,3
1,5,1,4,1,1,1,1,1,1,11.250281394459307,3.6067183047998697,9.321042515803128,13.246037899516523,14.61849900498055,6.094582537654787,0.6104685843456537,55.233743893913925,98.95911124302074,16.613240619190037,44.56911722430959,1,0,1,0,3,2,1,1,4
1,6,1,5,1,1,1,1,1,1,22.071599648334086,10.69367496133782,6.130090954247862,7.19900369993411,16.770620679017156,17.910266575869173,1.8577522761188447,42.33697351999581,115.78839145367965,20.247012078762054,42.34152370598167,1,1,1,1,1,2,1,1,3
1,7,1,6,1,1,1,1,1,1,10.345735037699342,4.420426662778482,11.891571513842791,15.933295250870287,11.3111355768051,12.659261234570295,3.124930070480332,34.02542502619326,43.70194618823007,13.379927854984999,19.58969633677043,1,0,0,1,2,2,1,1,6
1,8,1,7,1,1,1,1,1,1,18.20599573198706,4.185934717766941,13.607559061609209,15.465396464569494,10.97020116308704,6.112844925373793,2.6576675102114677,41.646432843990624,119.11667483625934,28.771510855294764,31.2133442342747,1,0,1,0,3,2,1,1,4
1,9,1,8,1,1,1,1,1,1,23.362037856131792,8.216284443391487,13.087625136598945,18.771049928618595,24.27202186989598,8.969245226122439,1.7570637026801705,29.70548269804567,85.87117652408779,21.927086259238422,25.83071829401888,1,0,1,1,3,2,1,1,3
1,10,1,9,1,1,1,1,1,1,16.855725049972534,8.23151132510975,12.870834154076874,7.964768174570054,8.808939993847162,7.6594298728741705,3.829953701933846,26.789704700931907,123.16596176940948,27.620216561481357,16.608414609218016,3,0,1,0,1,2,1,1,5
1,11,1,10,1,1,1,1,1,1,8.38318184018135,6.7707295410800725,9.331495324615389,10.137163875624537,13.477501657325774,8.586527222767472,1.381835766369477,30.427220286801457,127.70521796774119,28.294262858107686,42.98117887927219,2,1,0,0,2,2,1,1,5
1,12,1,11,1,1,1,1,1,1,22.203456326387823,4.748329313239083,16.275529893580824,17.361109181074426,14.671006728895009,4.747703494504094,4.039225757587701,71.39627863187343,103.30493594985455,16.31564232520759,41.762607807759196,3,1,0,0,3,2,1,1,6
1,13,1,12,1,1,1,1,1,1,18.74837372917682,6.627100383164361,8.348639275878668,14.712977764429525,15.682391107780859,5.154130253009498,4.916443162364885,33.33550948649645,60.50186570268124,21.50762555655092,34.1904362058267,3,0,1,1,1,2,1,1,3
1,14,1,13,1,1,1,1,1,1,5.103814625181258,9.395744310691953,9.581238825805485,5.697706794599071,14.44866388826631,12.229054703377187,2.8102091315668076,63.90688695013523,121.76585771376267,17.894208692014217,47.3861000163015,3,1,1,0,3,2,1,1,1
1,15,1,14,1,1,1,1,1,1,17.48111284803599,8.656838948372751,12.611821578349918,15.115465603303164,19.957211431348696,7.220227437093854,1.4156001899391413,26.256812284700572,108.087288569659,22.374168066307902,25.903043741127476,2,1,1,1,3,2,1,1,6
1,16,1,15,1,1,1,1,1,1,15.353161036036909,7.951371518662199,9.895325369667262,7.084277221001685,12.598282811697572,7.071754725649953,1.87528116395697,59.23041517380625,68.29559684731066,12.542629023082554,38.24919079663232,3,0,1,1,2,2,1,1,1
2,17,0,0,1,0,0,1,1,0,11.664786944165826,14.373707805760205,11.561160233104602,8.604725874960423,11.792235067114234,18.867425264324993,0.1282314476557076,38.91176296630874,37.99968618666753,8.969107331940904,22.030328391119838,1,0,1,1,1,2,2,1,4
2,18,1,1,1,0,0,1,1,0,19.865939151495695,3.511856685625389,11.278120227623731,12.527338380459696,21.639943287242204,16.96235488774255,1.925223630387336,42.791849304921925,114.66001894557849,25.73026212863624,23.627499719150364,3,1,1,0,3,2,2,1,5
2,19,1,2,1,0,0,1,1,0,15.845107957720757,6.037774822907522,15.24054699530825,19.101989056216553,24.790784413926303,6.744412277825177,2.9900823871139437,61.43721858039498,77.66888472484425,23.025413742288947,23.51410431554541,2,1,0,1,1,2,2,1,4
2,20,1,3,1,0,0,1,1,0,12.940200408920646,9.114378108177334,8.316087522078305,10.103671725373715,24.772043799748644,17.99789409711957,3.3773528260644525,41.26766349654645,116.56471830559894,18.99921163916588,25.09419537265785,2,0,1,1,2,2,2,1,4
2,21,1,4,1,0,0,1,1,0,20.74609901290387,5.917591147357598,11.96380392787978,15.557796895736828,17.587344935163856,4.064161187969148,4.145255540497601,58.53775799740106,50.02199470298365,29.89519282244146,28.169658865081146,3,1,0,0,3,2,2,1,5
